Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Albania,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,-0.2,35.7,226.0,85.0,22.6,7.8,12.7,33.2,20.6,0.4,0.0,3.1,5.2,2.4,2.9,2.4,2.4,3.0,3.3,2.2,3.6,3.4,2.0,1.9,1.6,1.9,1.3,2.0,2.0,1.4,1.6,2.0,6.7,4.8,2.2,2.4,2.7,3.0,3.0,3.0,3.0
Algeria,9.7,14.6,6.6,7.8,6.3,10.4,14.0,5.9,5.9,9.2,9.3,25.9,31.7,20.5,29.0,29.8,18.7,5.7,5.0,2.6,0.3,4.2,1.4,4.3,4.0,1.4,2.3,3.7,4.9,5.7,3.9,4.5,8.9,3.3,2.9,4.8,6.4,5.6,4.3,2.0,2.4,7.2,9.3,9.3,4.0,3.7,3.6,3.4,3.3,3.3,3.2
Andorra,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,43.29368932038836,17.645673076923078,9.766824644549764,11.788207547169813,11.91455399061033,8.814746543778803,3.1,3.1,2.9,3.5,3.7,2.7,4.3,-1.2,1.7,2.6,1.5,0.5,-0.1,-1.1,-0.4,2.6,1.0,0.5,0.1,1.7,6.2,5.6,3.1,2.2,1.8,1.7,1.7,1.7,1.7
Antigua and Barbuda,19.0,11.5,4.2,2.3,3.8,1.0,0.5,3.6,6.8,4.4,6.6,4.5,3.0,3.1,6.5,2.7,3.0,0.4,3.3,1.1,-0.2,1.9,2.4,2.0,2.0,2.1,1.8,1.4,5.3,-0.6,3.4,3.5,3.4,1.1,1.1,1.0,-0.5,2.4,1.2,1.4,1.1,1.6,7.5,5.1,6.4,3.5,2.4,2.0,2.0,2.0,2.0
Aruba,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,3.6,3.1,4.0,5.8,5.6,3.9,5.2,6.3,3.4,3.2,3.0,1.9,2.3,4.1,2.9,3.3,3.7,2.5,3.4,3.6,5.4,9.0,-2.1,2.1,4.4,0.6,-2.4,0.4,0.5,-0.9,-1.0,3.6,3.9,-1.3,0.7,5.5,3.4,1.7,1.5,1.9,2.0,2.0,2.0,2.0
Australia,10.1,9.5,11.4,10.0,4.0,6.7,9.1,8.5,7.3,7.6,7.2,3.3,1.0,1.8,1.9,4.6,2.7,0.2,0.9,1.4,4.5,4.4,3.0,2.7,2.3,2.7,3.6,2.4,4.3,1.8,2.9,3.4,1.7,2.5,2.5,1.5,1.3,2.0,1.9,1.6,0.9,2.8,6.6,5.6,3.2,2.5,3.5,2.6,2.5,2.5,2.5
Austria,6.3,6.8,5.4,3.3,5.7,3.2,1.7,1.4,1.9,2.2,2.8,3.1,3.4,3.2,2.7,1.6,1.8,1.2,0.8,0.5,2.0,2.3,1.7,1.3,2.0,2.1,1.7,2.2,3.2,0.4,1.7,3.5,2.6,2.1,1.5,0.8,1.0,2.2,2.1,1.5,1.4,2.8,8.6,7.7,2.9,3.2,1.7,2.2,2.1,2.1,2.1
Azerbaijan,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,1129.7,1664.0,411.8,19.8,3.7,-0.8,-8.5,1.8,1.8,2.8,2.1,6.7,9.6,8.3,16.7,20.8,1.5,5.7,7.9,1.1,2.4,1.4,4.0,12.4,12.9,2.3,2.6,2.8,6.7,13.9,8.8,2.2,5.7,4.5,4.0,4.0,4.0,4.0
"Bahamas, The",12.2,11.0,6.1,4.0,4.0,4.6,5.4,6.0,4.1,5.4,4.6,7.3,5.6,2.7,1.4,2.0,1.3,0.6,1.2,1.1,1.7,2.4,1.5,3.7,1.2,1.8,2.0,2.4,4.4,1.7,1.6,3.1,1.9,0.4,1.2,1.9,-0.3,1.5,2.3,2.5,0.0,2.9,5.6,3.1,0.4,0.9,1.3,1.8,1.9,2.0,2.0
Bahrain,3.8,11.4,8.7,3.2,0.0,-2.4,-2.5,-1.7,0.2,1.2,1.3,0.9,-0.3,2.6,4.0,3.1,-0.2,4.6,-0.4,-1.3,-0.7,-1.2,-0.5,1.7,2.2,2.6,2.0,3.3,3.5,2.8,2.0,-0.3,2.8,3.3,2.6,1.8,2.8,1.4,2.1,1.0,-2.3,-0.6,3.6,0.1,0.9,1.0,1.5,1.9,2.0,2.0,2.0
Bangladesh,7.7,14.9,13.7,11.1,10.0,10.4,10.3,10.5,10.2,9.2,9.7,9.3,5.9,3.3,4.6,8.9,6.8,2.7,6.7,8.9,3.6,1.8,2.4,3.9,8.1,6.5,7.2,7.2,9.9,6.7,7.3,8.8,8.9,6.8,7.3,6.4,5.9,5.4,5.8,5.5,5.6,5.6,6.1,9.0,9.7,10.0,5.2,4.8,5.2,5.6,5.6
Barbados,18.5,14.6,10.3,5.3,4.6,4.9,0.2,3.6,4.7,6.3,3.0,6.3,6.0,1.2,0.7,2.8,2.4,7.7,-1.3,1.6,2.4,2.8,0.2,1.6,1.4,6.1,7.3,4.0,8.1,3.6,5.8,9.4,4.5,1.8,1.8,-1.1,1.5,4.4,3.0,1.7,0.6,1.4,4.5,3.2,1.4,2.0,2.4,2.4,2.4,2.4,2.4
Belgium,6.7,7.6,8.7,7.7,6.3,4.9,1.3,1.6,1.2,3.1,3.5,3.2,2.3,2.5,2.4,1.3,1.8,1.5,0.9,1.1,2.7,2.4,1.6,1.5,1.9,2.5,2.3,1.8,4.5,0.0,2.3,3.3,2.6,1.3,0.5,0.6,1.8,2.2,2.3,1.3,0.4,3.2,10.3,2.3,4.3,3.2,2.1,2.1,2.0,1.9,1.9
Belize,7.1,11.2,6.8,5.0,3.4,4.2,0.8,2.0,5.3,0.0,2.0,2.3,2.4,1.5,2.6,2.9,6.4,1.0,-0.8,-1.2,0.6,1.1,2.2,2.6,3.1,3.7,4.2,2.3,6.4,-1.1,0.9,1.7,1.2,0.5,1.2,-0.9,0.7,1.1,0.3,0.2,0.1,3.2,6.3,4.4,3.3,2.1,1.5,1.3,1.3,1.3,1.3
Benin,9.6,0.8,4.1,-6.1,10.3,1.2,0.4,-1.3,3.4,-0.2,1.1,2.1,5.9,0.4,38.5,14.5,4.9,3.8,5.8,0.3,4.2,4.0,2.4,1.5,0.9,5.4,3.8,1.3,7.4,0.9,2.1,2.7,6.7,0.4,-0.6,0.2,-0.8,1.8,0.8,-0.9,3.0,1.7,1.4,2.7,1.2,2.2,2.0,2.0,2.0,2.0,2.0
Bhutan,12.5,5.0,9.9,12.1,13.0,8.0,5.2,7.0,8.2,8.9,9.4,10.3,8.1,9.6,9.5,7.1,8.8,8.6,7.6,9.1,7.2,3.7,2.9,2.5,3.3,4.8,4.9,5.2,6.3,7.1,4.8,8.6,10.1,8.1,9.6,6.7,3.3,4.3,3.6,2.8,3.0,8.2,5.9,4.5,4.3,3.2,4.7,4.6,4.4,4.1,4.0
Bosnia and Herzegovina,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,12.9,-11.7,5.7,-0.3,2.8,5.0,3.2,0.3,0.5,0.3,3.6,6.1,1.5,7.4,-0.4,2.1,4.0,2.1,-0.1,-0.9,-1.0,-1.6,0.8,1.4,0.6,-1.1,2.0,14.0,6.1,1.7,2.2,2.0,2.0,2.0,2.0,2.0
Botswana,12.1,16.3,11.2,10.5,8.6,8.1,10.0,9.8,8.4,11.6,11.4,12.6,16.5,14.4,10.6,10.5,10.1,8.9,6.5,7.8,8.5,6.6,8.0,9.2,7.0,8.6,11.6,7.1,12.6,8.1,6.9,8.5,7.5,5.9,4.4,3.1,2.8,3.3,3.2,2.7,1.9,6.7,12.2,5.1,2.8,4.5,4.5,4.5,4.5,4.5,4.5
Brunei Darussalam,21.079393939393935,17.254705882352944,0.0,1.2,3.1,2.1,1.8,1.2,1.2,1.3,2.1,1.6,1.3,4.3,2.5,6.0,2.0,1.7,-0.4,-0.4,1.6,0.6,-2.3,0.3,0.8,1.2,0.2,1.0,2.1,1.0,0.4,0.1,0.1,0.4,-0.2,-0.5,-0.3,-1.3,1.0,-0.4,1.9,1.7,3.7,0.4,-0.4,1.0,1.0,1.0,1.0,1.0,1.0
Burkina Faso,12.3,7.6,12.1,8.3,4.8,7.1,-2.7,-2.9,4.2,-0.3,-0.8,2.5,-2.0,0.6,24.7,7.8,6.1,2.9,4.9,-1.1,-0.2,4.7,2.3,2.0,-0.4,6.4,2.3,-0.2,10.7,0.9,-0.6,2.8,3.8,0.5,-0.3,1.7,0.4,1.5,2.0,-3.2,1.9,3.9,13.8,0.9,4.2,3.0,2.5,2.1,2.0,2.0,2.0
Cabo Verde,15.1,20.7,21.1,20.2,9.7,5.9,11.1,3.8,3.6,4.7,11.1,7.6,13.4,5.8,3.3,8.4,6.0,8.6,4.4,4.3,-2.4,3.7,1.9,1.2,-1.9,0.4,4.8,4.4,6.8,1.0,2.1,4.5,2.5,1.5,-0.2,0.1,-1.4,0.8,1.3,1.1,0.6,1.9,7.9,3.7,1.0,1.5,2.0,2.0,2.0,2.0,2.0
Cambodia,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,-31.2,23.0,63.8,141.8,191.0,75.0,114.3,10.4,10.1,7.1,10.5,12.9,2.0,-0.8,-0.1,0.0,1.0,3.9,6.3,6.1,7.7,25.0,-0.7,4.0,5.5,2.9,2.9,3.9,1.2,3.0,2.9,2.4,2.0,2.9,2.9,5.3,2.1,0.9,1.0,3.2,3.0,3.0,3.0,3.0
Cameroon,7.7,7.5,15.3,20.5,12.1,4.2,4.3,2.8,1.7,1.6,1.5,-0.6,1.9,-3.7,14.9,25.8,3.9,4.8,3.2,1.8,1.2,4.5,2.8,0.6,0.3,2.0,4.9,1.1,5.3,3.0,1.3,3.0,2.4,2.1,1.9,2.7,0.9,0.6,1.1,2.5,2.5,2.3,6.3,7.4,4.5,3.4,3.0,2.8,2.6,2.5,2.4
Canada,10.2,12.5,10.8,5.8,4.3,4.0,4.2,4.4,4.0,5.0,4.8,5.6,1.5,1.9,0.2,2.1,1.6,1.6,1.0,1.7,2.7,2.5,2.3,2.8,1.9,2.2,2.0,2.1,2.4,0.3,1.8,2.9,1.5,0.9,1.9,1.1,1.4,1.6,2.3,1.9,0.7,3.4,6.8,3.9,2.4,2.0,2.1,2.0,2.0,2.0,2.0
Central African Republic,13.3,14.7,13.2,14.6,2.6,10.5,2.4,-7.0,-3.9,0.6,-0.2,-2.8,-0.8,-2.9,24.5,19.2,3.8,1.6,-2.0,-1.6,3.4,4.1,2.3,4.4,-2.6,2.9,6.9,0.9,9.2,3.6,1.5,1.2,5.9,4.0,17.8,1.4,4.9,4.2,1.6,2.8,0.9,4.3,5.6,3.0,3.4,2.7,3.3,2.8,2.8,3.0,3.3
Chad,8.6,8.1,6.4,7.9,20.3,5.1,-13.1,-2.7,14.9,-4.9,0.5,4.2,-3.8,-10.9,41.3,5.4,11.3,5.6,4.3,-8.4,3.8,12.4,5.2,-1.8,-4.8,4.4,9.6,-7.4,8.3,10.1,-2.1,2.0,7.5,0.2,-5.5,4.8,-1.6,-0.9,4.0,-1.0,4.5,-0.8,5.8,4.1,5.7,3.9,3.5,3.0,3.0,3.0,3.0
