Country,ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,AFG,45.1183,45.5207,46.5691,51.0212,50.9689,52.1032,52.8302,53.2123,52.487,54.5324,55.0047,55.5113,56.2251,57.1713,57.8098,58.2468,58.5533,58.9563,59.7081,60.2478,60.7018,61.2503,61.7349,62.1878,62.2599,62.2695,62.6459,62.4062,62.4434,62.9411,61.4537,60.4174,65.617,66.0346,66.2893
Albania,ALB,72.7096,73.0011,73.303,73.6377,73.8367,74.0218,74.1134,73.3832,74.3572,74.5684,74.8262,75.083,75.2987,75.5566,75.9515,76.4266,76.9943,77.6907,78.2484,78.5088,78.4141,78.3029,78.0836,77.9951,78.0291,78.358,78.6433,78.9003,79.2377,79.4669,77.8241,76.8442,78.7688,79.6019,79.7764
Algeria,DZA,67.6584,67.6919,67.7245,67.7974,67.2844,67.6914,68.2186,68.8594,69.3271,70.0881,70.5759,71.0245,71.6437,71.9064,72.5359,72.836,73.1164,73.346,73.6181,73.8711,74.1435,74.3834,74.6086,74.8095,74.9923,75.1589,75.3099,75.4313,75.5554,75.6818,73.2568,75.2077,76.1289,76.261,76.4752
American Samoa,ASM,71.1074,71.312,71.5106,71.5399,71.5688,71.5652,71.5763,71.6065,71.5421,71.484,71.4429,71.5734,71.7547,71.6979,72.2768,72.3817,72.3975,72.3649,72.43,70.8391,72.5866,72.6621,72.7093,72.7692,72.6873,72.6543,72.6399,72.8009,72.794,72.7511,72.6717,72.708,72.7521,72.8518,72.9919
Andorra,AND,78.9608,79.3458,79.7941,80.186,80.5868,80.8037,81.009,81.1446,81.2803,81.5505,81.8633,82.1618,82.4485,82.7183,82.8153,83.086,83.3745,83.6324,83.8546,84.0997,84.1974,84.2965,84.3339,84.4065,84.4853,84.5316,84.4885,84.3595,84.2416,84.098,79.4177,82.3311,84.0164,84.0406,84.1881
Angola,AGO,41.8542,43.8116,42.2673,42.1902,43.5671,46.1391,46.4177,46.6882,45.4515,45.8077,46.5005,47.0323,47.8736,50.218,51.1225,52.1295,52.9647,54.2001,55.2809,56.2251,57.242,58.0931,58.916,59.7048,60.3956,61.042,61.6189,62.1221,62.6219,63.0511,63.1164,62.9581,64.2455,64.617,64.8047
Anguilla,AIA,72.0868,72.4463,72.7807,73.12,73.4412,73.7432,74.0452,74.3392,74.6097,74.8918,75.1471,75.3965,75.6564,75.8948,76.1355,76.3362,76.5687,76.7519,76.9019,77.0431,77.2078,77.3048,77.4058,77.6236,77.6962,77.7411,77.8764,77.1738,78.2359,78.4253,78.6562,78.4144,79.1194,79.3115,79.4858
Antigua and Barbuda,ATG,73.6024,73.4716,73.3864,73.3902,73.4934,73.5759,73.8389,74.0454,74.1873,74.456,74.8191,75.1082,75.237,75.3125,75.3295,75.3638,75.5059,75.72,76.0753,76.3856,76.7013,77.0227,77.1,77.0496,76.9122,76.8924,76.9684,77.0296,77.1325,77.1681,77.1613,77.197,77.4833,77.5976,77.766
Argentina,ARG,71.6145,72.0204,72.0958,72.3033,72.7317,72.8644,73.0565,73.4071,73.4121,73.6833,73.91,74.1542,74.3122,74.3073,74.8713,75.2306,75.2791,74.7827,75.4281,75.5773,75.68,76.0998,75.8024,75.8292,76.2678,76.5995,76.105,76.5434,76.7698,76.8475,75.8781,73.9485,75.8061,77.3947,77.5434
Armenia,ARM,67.7332,67.8008,67.8819,68.1432,68.4477,68.8131,69.1975,69.5924,70.0054,70.418,71.84639390243905,72.0750048780488,72.15636463414634,72.28056463414634,72.47651463414635,72.0822,72.2188,72.3589,72.5193,72.7136,72.9381,73.1852,73.4396,73.7131,73.98,74.229,74.4937,74.7441,74.9783,75.7075256097561,71.1327048780488,72.5524,74.6333,76.5742768292683,75.8459
Aruba,ABW,72.546,72.5921,72.7174,72.7767,72.796,72.8322,72.8561,72.904,72.9397,72.8568,72.9393,73.0437,73.1355,73.2362,73.223,73.4152,73.4984,73.6421,73.7833,73.9738,74.2973,74.5776,74.8415,75.0718,75.261,75.4054,75.5398,75.6203,75.8797,76.0193,75.4061,73.655,76.2258,76.353,76.5
Australia,AUS,77.0414,77.4806,77.4731,78.006,77.8515,78.2569,78.3436,78.6256,79.0202,79.2769,79.6207,80.006,80.0515,80.4396,80.7334,81.0923,81.2581,81.2324,81.4267,81.7283,82.0132,82.0911,82.2966,82.5511,82.5182,82.605,82.8014,82.7184,83.2582,83.2412,83.6639,83.564,82.7662,83.9228,84.073
Austria,AUT,75.7385,75.7921,75.992,76.2247,76.5414,76.7753,77.0256,77.4279,77.7823,77.9554,78.235,78.7184,78.8464,78.8491,79.3624,79.5202,79.9648,80.1664,80.3633,80.2064,80.4634,80.8281,80.8407,81.078,81.39,81.1592,81.5922,81.6387,81.6859,81.9072,81.8037,81.8204,81.2959,81.9559,82.1196
Azerbaijan,AZE,62.7504,62.5436,60.7729,61.4261,60.277,61.9313,62.6603,62.9533,63.7498,64.7334,65.3772,66.0429,66.769,67.036,67.4882,67.7103,68.489,68.6587,69.355,69.8743,70.3088,70.5651,71.0799,71.4849,71.9304,72.3486,72.5678,72.6943,73.0156,73.29,70.3116,70.9994,74.125,74.4286,74.5764
Bahamas,BHS,70.9449,71.1826,71.2981,71.4202,71.4292,71.4225,71.4638,71.5975,71.8399,72.1465,72.4812,72.7654,73.0234,73.2126,73.235,73.4132,73.4558,73.4628,73.4454,73.4551,73.4487,73.5712,73.7069,73.9304,74.0286,73.8047,74.0421,74.0314,74.062,71.4084,72.9936,70.752,74.4911,74.5518,74.7099
"Bahamas, The",BHS,70.945,71.183,71.298,71.42,71.429,71.422,71.464,71.597,71.84,72.147,72.481,72.765,73.023,73.213,73.235,73.413,73.456,73.463,73.445,73.455,73.449,73.571,73.707,73.93,74.029,73.805,74.042,74.031,74.062,71.408,72.994,70.752,74.491,74.552,
Bahrain,BHR,72.5867,72.6682,72.7846,72.9393,73.1344,73.3613,73.6103,73.8717,74.1381,74.4053,74.6726,74.9419,75.2086,75.4857,75.7869,76.1249,76.5101,76.9519,77.4565,78.0162,78.5933,79.1409,79.6218,79.9981,80.2139,80.3378,80.407,80.4067,80.4118,80.4706,78.6833,78.0826,80.9921,81.2835,81.4228
Bangladesh,BGD,55.8219,53.7809,56.5915,57.0729,57.6403,58.2442,58.9395,59.6713,60.4291,61.2444,62.0487,62.8358,63.5914,64.2877,64.9118,65.5087,66.0479,66.4578,67.0471,67.5269,68.0091,68.4988,68.9894,69.4874,70.0162,70.5429,71.0752,71.6056,72.1217,72.6254,71.4211,71.1035,74.2647,74.6723,74.9298
Barbados,BRB,73.4625,73.5431,73.6101,73.7394,73.7551,73.8796,74.0647,73.9884,74.4652,74.5868,74.5803,74.7065,74.8203,74.8653,75.1499,74.9602,75.0485,75.2625,75.3002,75.4582,75.4882,75.5985,75.7373,75.816,75.9263,76.0546,76.1681,76.2365,76.3784,76.4951,76.6465,76.5797,75.6761,76.1782,76.3316
Belarus,BLR,71.1446,70.7224,70.119,69.5221,68.9659,68.7521,68.5655,68.5006,68.2715,68.4193,68.4637,68.4351,68.2983,68.4289,68.6879,68.9822,69.436,69.9855,70.3485,70.4088,70.5005,71.0679,71.8,72.6808,73.245,73.7607,74.1532,74.3618,74.3344,74.2555,72.269,72.2206,74.3612,74.4339,74.6235
Belgium,BEL,76.0586,76.1992,76.3582,76.3632,76.7159,76.8403,77.1847,77.4025,77.4763,77.6479,77.7684,78.0824,78.1678,78.3203,78.9605,79.0532,79.3894,79.5284,79.5793,79.8489,80.04,80.3664,80.2604,80.4668,81.0802,80.8889,81.2647,81.3624,81.4805,81.8353,80.7977,81.6591,81.1589,82.115,82.2741
Belize,BLZ,69.5692,69.645,69.6012,69.5946,69.5846,69.4839,69.3627,69.1828,68.9063,68.9764,68.9108,68.944,69.5285,69.8185,70.1521,70.3347,70.5352,70.6524,70.6651,70.8058,70.8753,70.9755,71.1342,71.2757,71.4372,71.6467,71.8433,72.062,72.3215,72.5766,71.5801,70.917,72.1904,73.5656,73.7386
Benin,BEN,53.0205,53.441,54.1366,54.6123,54.9884,55.3657,55.648,55.9859,56.1545,56.3363,56.5945,56.6542,56.851,57.0924,57.3465,57.7384,57.9659,58.2488,58.099,58.258,58.3873,58.4618,58.5585,58.8634,59.0082,59.1233,59.2826,59.5278,59.7097,59.8875,60.154,59.6103,60.4751,60.7738,60.961
Bermuda,BMU,73.9523,74.2043,74.446,74.7659,75.2756,75.9203,76.52,76.9717,77.389,77.8537,78.2508,78.6366,78.8406,78.7147,78.8981,78.8737,78.8695,79.0056,79.1011,79.2293,79.4139,79.6515,79.8475,80.0156,80.1986,80.3378,80.4761,80.6861,80.9856,81.2507,81.4562,81.7451,82.0616,82.3089,82.4897
Bhutan,BTN,55.811,56.4509,57.208,57.9059,58.3951,59.2766,59.9816,60.6392,61.3225,62.0323,61.8417,63.3226,63.984,64.6619,65.2898,65.8746,66.4992,67.1518,67.7329,68.1565,68.7648,69.2802,69.7589,70.1611,70.5035,70.7971,71.1193,71.4127,71.7113,72.0049,72.2531,72.4482,72.754,72.9753,73.2616
Bolivia,BOL,56.797,57.439,57.923,58.66,59.282,59.787,60.287,60.745,61.227,61.655,62.057,62.538,63.068,63.455,63.819,64.182,64.529,64.939,65.299,65.656,66.003,66.282,66.586,66.777,66.97,67.205,67.392,67.536,67.699,67.82,62.906,61.427,67.434,68.581,
