STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,CURRENCY,Currency,BASE_PER,Base period,METHODOLOGY,Methodology,DECIMALS,Decimals,PRICE_BASE,Price base,ADJUSTMENT,Adjustment
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,TUR,Türkiye,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,3.98671978853579,,,,PA,Percent per annum,0,Units,,,2009,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,CHL,Chile,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2022,,2.09356040642105,,,,PA,Percent per annum,0,Units,,,2013,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,CHL,Chile,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,0.298346657303597,,,,PA,Percent per annum,0,Units,,,2013,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,CHL,Chile,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,2.3867862506136,,,,PA,Percent per annum,0,Units,,,2013,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,CHL,Chile,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,2.33204504733953,,,,PA,Percent per annum,0,Units,,,2013,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,CHL,Chile,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,2.11643324920885,,,,PA,Percent per annum,0,Units,,,2013,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,ISR,Israel,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2022,,6.21813064538533,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,ISR,Israel,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,1.86357175629107,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,ISR,Israel,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,0.555432173435648,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,ISR,Israel,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,2.44468341021243,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,ISR,Israel,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,4.64481160730104,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,GRC,Greece,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2022,,5.74364264544546,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,GRC,Greece,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2023,,2.33214150589437,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,GRC,Greece,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2024,,2.34316002870959,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,GRC,Greece,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2025,,2.16937645272367,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
DATAFLOW,OECD.ECO.MAD:DSD_EO_116@DF_EO_116(1.0),Economic Outlook 116,I,GRC,Greece,GDPV_ANNPCT,"Gross domestic product, volume, growth",A,Annual,2026,,2.49022318728603,,,,PA,Percent per annum,0,Units,,,2015,,,,2,Two,,,,
